# RS(544,522) data_k frame (MSB-first)
# Line i = data_k[521-i], fields: dec,0xHEX (10-bit)
487,0x1e7
188,0x0bc
67,0x043
756,0x2f4
795,0x31b
777,0x309
907,0x38b
787,0x313
302,0x12e
760,0x2f8
8,0x008
348,0x15c
516,0x204
42,0x02a
875,0x36b
916,0x394
414,0x19e
856,0x358
774,0x306
150,0x096
86,0x056
953,0x3b9
982,0x3d6
1002,0x3ea
727,0x2d7
803,0x323
252,0x0fc
826,0x33a
914,0x392
509,0x1fd
591,0x24f
318,0x13e
206,0x0ce
777,0x309
455,0x1c7
110,0x06e
828,0x33c
334,0x14e
885,0x375
653,0x28d
511,0x1ff
565,0x235
405,0x195
135,0x087
895,0x37f
161,0x0a1
101,0x065
354,0x162
431,0x1af
151,0x097
311,0x137
206,0x0ce
696,0x2b8
236,0x0ec
807,0x327
957,0x3bd
756,0x2f4
139,0x08b
446,0x1be
293,0x125
852,0x354
160,0x0a0
479,0x1df
469,0x1d5
628,0x274
328,0x148
888,0x378
703,0x2bf
455,0x1c7
101,0x065
323,0x143
394,0x18a
516,0x204
932,0x3a4
35,0x023
898,0x382
125,0x07d
786,0x312
745,0x2e9
933,0x3a5
826,0x33a
834,0x342
402,0x192
706,0x2c2
321,0x141
172,0x0ac
638,0x27e
927,0x39f
469,0x1d5
543,0x21f
932,0x3a4
835,0x343
928,0x3a0
801,0x321
922,0x39a
538,0x21a
211,0x0d3
214,0x0d6
60,0x03c
402,0x192
507,0x1fb
683,0x2ab
837,0x345
408,0x198
982,0x3d6
148,0x094
755,0x2f3
367,0x16f
370,0x172
158,0x09e
964,0x3c4
442,0x1ba
1022,0x3fe
301,0x12d
700,0x2bc
425,0x1a9
128,0x080
693,0x2b5
776,0x308
428,0x1ac
293,0x125
351,0x15f
142,0x08e
515,0x203
558,0x22e
979,0x3d3
463,0x1cf
507,0x1fb
440,0x1b8
566,0x236
722,0x2d2
278,0x116
408,0x198
15,0x00f
776,0x308
13,0x00d
124,0x07c
943,0x3af
487,0x1e7
684,0x2ac
266,0x10a
332,0x14c
140,0x08c
783,0x30f
221,0x0dd
902,0x386
662,0x296
104,0x068
246,0x0f6
28,0x01c
861,0x35d
968,0x3c8
234,0x0ea
754,0x2f2
364,0x16c
875,0x36b
744,0x2e8
727,0x2d7
762,0x2fa
179,0x0b3
182,0x0b6
681,0x2a9
56,0x038
671,0x29f
986,0x3da
427,0x1ab
677,0x2a5
881,0x371
431,0x1af
445,0x1bd
987,0x3db
278,0x116
742,0x2e6
974,0x3ce
457,0x1c9
216,0x0d8
212,0x0d4
71,0x047
24,0x018
260,0x104
491,0x1eb
999,0x3e7
1,0x001
399,0x18f
843,0x34b
1016,0x3f8
753,0x2f1
533,0x215
529,0x211
985,0x3d9
845,0x34d
298,0x12a
330,0x14a
869,0x365
1003,0x3eb
325,0x145
313,0x139
823,0x337
759,0x2f7
785,0x311
314,0x13a
184,0x0b8
1009,0x3f1
48,0x030
594,0x252
757,0x2f5
316,0x13c
524,0x20c
862,0x35e
1012,0x3f4
30,0x01e
452,0x1c4
1004,0x3ec
296,0x128
866,0x362
924,0x39c
597,0x255
599,0x257
925,0x39d
942,0x3ae
202,0x0ca
492,0x1ec
346,0x15a
54,0x036
433,0x1b1
239,0x0ef
118,0x076
111,0x06f
993,0x3e1
734,0x2de
464,0x1d0
304,0x130
274,0x112
340,0x154
466,0x1d2
889,0x379
938,0x3aa
265,0x109
415,0x19f
241,0x0f1
416,0x1a0
706,0x2c2
737,0x2e1
312,0x138
406,0x196
339,0x153
14,0x00e
263,0x107
267,0x10b
720,0x2d0
37,0x025
549,0x225
555,0x22b
462,0x1ce
143,0x08f
725,0x2d5
471,0x1d7
136,0x088
289,0x121
97,0x061
230,0x0e6
317,0x13d
749,0x2ed
160,0x0a0
43,0x02b
965,0x3c5
15,0x00f
464,0x1d0
110,0x06e
576,0x240
523,0x20b
740,0x2e4
722,0x2d2
896,0x380
459,0x1cb
232,0x0e8
790,0x316
353,0x161
14,0x00e
215,0x0d7
830,0x33e
16,0x010
320,0x140
312,0x138
431,0x1af
926,0x39e
901,0x385
450,0x1c2
452,0x1c4
736,0x2e0
11,0x00b
693,0x2b5
395,0x18b
882,0x372
725,0x2d5
112,0x070
744,0x2e8
627,0x273
297,0x129
630,0x276
646,0x286
642,0x282
100,0x064
835,0x343
107,0x06b
214,0x0d6
323,0x143
442,0x1ba
772,0x304
355,0x163
352,0x160
403,0x193
6,0x006
877,0x36d
210,0x0d2
722,0x2d2
601,0x259
362,0x16a
481,0x1e1
64,0x040
632,0x278
920,0x398
823,0x337
787,0x313
861,0x35d
411,0x19b
258,0x102
502,0x1f6
856,0x358
