# RS(544,522) data_k frame (MSB-first)
# Line i = data_k[521-i], fields: dec,0xHEX (10-bit)
246,0x0f6
415,0x19f
5,0x005
162,0x0a2
637,0x27d
593,0x251
592,0x250
214,0x0d6
352,0x160
695,0x2b7
433,0x1b1
347,0x15b
54,0x036
636,0x27c
359,0x167
217,0x0d9
725,0x2d5
913,0x391
932,0x3a4
312,0x138
1004,0x3ec
37,0x025
837,0x345
91,0x05b
300,0x12c
320,0x140
181,0x0b5
208,0x0d0
126,0x07e
937,0x3a9
531,0x213
423,0x1a7
145,0x091
900,0x384
815,0x32f
928,0x3a0
264,0x108
867,0x363
506,0x1fa
452,0x1c4
569,0x239
624,0x270
667,0x29b
142,0x08e
408,0x198
591,0x24f
1008,0x3f0
4,0x004
0,0x000
706,0x2c2
37,0x025
385,0x181
691,0x2b3
170,0x0aa
738,0x2e2
346,0x15a
63,0x03f
861,0x35d
233,0x0e9
1021,0x3fd
538,0x21a
779,0x30b
459,0x1cb
64,0x040
853,0x355
988,0x3dc
191,0x0bf
769,0x301
362,0x16a
32,0x020
331,0x14b
262,0x106
800,0x320
445,0x1bd
9,0x009
802,0x322
